id;start_date;end_date;language
1;2020-02-06T06:44:41;2020-02-06T04:34:56;SPANISH
2;2020-02-05T11:34:52;2020-02-06T06:39:17;SPANISH
3;2020-02-06T02:30:11;2020-02-05T13:04:20;FRENCH
4;2020-02-05T17:47:42;2020-02-06T05:19:08;FRENCH
5;2020-02-06T03:18:00;2020-02-06T08:04:59;FRENCH
6;2020-02-05T21:10:21;2020-02-06T09:18:35;FRENCH
7;2020-02-05T22:55:41;2020-02-05T16:46:32;FRENCH
8;2020-02-05T21:51:54;2020-02-06T08:08:02;SPANISH
9;2020-02-05T20:33:03;2020-02-05T17:14:26;SPANISH
10;2020-02-06T04:45:07;2020-02-05T15:19:37;SPANISH
